epoch,step,train/loss,train/loss_align,train/total,val/dice,val/dice_LIVER,val/dice_LK,val/dice_RK,val/dice_SPLEEN,val/loss,val/pred_fg_rate
0,49,0.4563676714897156,0.10456407070159912,0.5609317421913147,,,,,,,
0,99,0.3362443149089813,0.19959959387779236,0.5358439087867737,,,,,,,
0,149,0.2951302230358124,0.27243831753730774,0.5675685405731201,,,,,,,
0,199,0.23694443702697754,0.20983390510082245,0.4467783570289612,,,,,,,
0,249,0.16151966154575348,0.11007480323314667,0.27159446477890015,,,,,,,
0,299,0.5367242693901062,0.1521388292312622,0.6888630986213684,,,,,,,
0,349,0.2777348458766937,0.22114726901054382,0.49888211488723755,,,,,,,
0,399,0.26338252425193787,0.09961126744747162,0.3629937767982483,,,,,,,
0,449,0.5233716368675232,0.18714621663093567,0.7105178833007812,,,,,,,
0,499,0.42132505774497986,0.2137119472026825,0.6350370049476624,,,,,,,
0,499,,,,0.3267839848995209,0.34737226366996765,0.32873713970184326,0.296673446893692,0.3395257294178009,0.3471783399581909,0.02136123739182949
1,549,0.4263382852077484,0.10583299398422241,0.5321712493896484,,,,,,,
1,599,0.2852001488208771,0.16424186527729034,0.4494420289993286,,,,,,,
1,649,0.2775557041168213,0.21702203154563904,0.4945777356624603,,,,,,,
1,699,0.2339879423379898,0.26487547159194946,0.4988633990287781,,,,,,,
1,749,0.3850015103816986,0.08745988458395004,0.47246140241622925,,,,,,,
1,799,0.22177307307720184,0.12691272795200348,0.3486858010292053,,,,,,,
1,849,0.16784518957138062,0.1882307231426239,0.3560759127140045,,,,,,,
1,899,0.24236717820167542,0.15983189642429352,0.4021990895271301,,,,,,,
1,949,0.23016053438186646,0.10440850257873535,0.3345690369606018,,,,,,,
1,999,0.20871120691299438,0.20248949527740479,0.41120070219039917,,,,,,,
1,999,,,,0.2738893926143646,0.2649664282798767,0.2808426320552826,0.24665535986423492,0.3027207851409912,0.39389368891716003,0.01978706382215023
2,1049,0.44457244873046875,0.18518893420696259,0.6297613978385925,,,,,,,
2,1099,0.3728158175945282,0.23091000318527222,0.603725790977478,,,,,,,
2,1149,0.08122926950454712,0.0911329835653305,0.17236225306987762,,,,,,,
2,1199,0.164205864071846,0.17807915806770325,0.34228503704071045,,,,,,,
2,1249,0.2162657529115677,0.10983627289533615,0.32610201835632324,,,,,,,
2,1299,0.505344033241272,0.2541048228740692,0.7594488859176636,,,,,,,
2,1349,0.1593320220708847,0.10626393556594849,0.2655959725379944,,,,,,,
2,1399,0.266146719455719,0.1481281965970993,0.4142749309539795,,,,,,,
2,1449,0.24774757027626038,0.08839930593967438,0.33614689111709595,,,,,,,
2,1499,0.2746541500091553,0.31170907616615295,0.5863631963729858,,,,,,,
2,1499,,,,0.3579573333263397,0.4132345914840698,0.3605784475803375,0.2813986837863922,0.37394145131111145,0.33246830105781555,0.04544975236058235
3,1549,0.20393092930316925,0.11560356616973877,0.3195344805717468,,,,,,,
3,1599,0.2526468336582184,0.12199243903160095,0.37463927268981934,,,,,,,
3,1649,0.26194050908088684,0.17716670036315918,0.439107209444046,,,,,,,
3,1699,0.1522151678800583,0.10176343470811844,0.2539786100387573,,,,,,,
3,1749,0.27805840969085693,0.18182197213172913,0.45988038182258606,,,,,,,
3,1799,0.3414180874824524,0.09949666261672974,0.44091475009918213,,,,,,,
3,1849,0.13037942349910736,0.1455472856760025,0.27592670917510986,,,,,,,
3,1899,0.5762149095535278,0.30149585008621216,0.87771075963974,,,,,,,
3,1949,0.17305317521095276,0.1395236849784851,0.31257686018943787,,,,,,,
3,1999,0.16156509518623352,0.118059441447258,0.2796245217323303,,,,,,,
3,1999,,,,0.34225842356681824,0.4308553636074066,0.4128275513648987,0.3241608142852783,0.24089616537094116,0.41649097204208374,0.045247193425893784
4,2049,0.207034170627594,0.1525142639875412,0.3595484495162964,,,,,,,
4,2099,0.30123281478881836,0.11047300696372986,0.4117058217525482,,,,,,,
4,2149,0.31372299790382385,0.11917849630117416,0.4329015016555786,,,,,,,
4,2199,0.11926766484975815,0.09133896231651306,0.2106066346168518,,,,,,,
4,2249,0.1505330502986908,0.06860224902629852,0.21913529932498932,,,,,,,
4,2299,0.34516021609306335,0.1770549714565277,0.5222151875495911,,,,,,,
4,2349,0.11406756937503815,0.12966059148311615,0.2437281608581543,,,,,,,
4,2399,0.13800062239170074,0.07578732818365097,0.21378794312477112,,,,,,,
4,2449,0.21444250643253326,0.08443772792816162,0.2988802194595337,,,,,,,
4,2499,0.29987940192222595,0.08545325696468353,0.3853326439857483,,,,,,,
4,2499,,,,0.338802307844162,0.37023869156837463,0.48465293645858765,0.2185245156288147,0.28639695048332214,0.470073938369751,0.03137046843767166
5,2549,0.643265426158905,0.24641536176204681,0.889680802822113,,,,,,,
5,2599,0.15349361300468445,0.12000783532857895,0.273501455783844,,,,,,,
5,2649,0.12400878965854645,0.12151529639959335,0.2455240786075592,,,,,,,
5,2699,0.17581985890865326,0.11538469791412354,0.291204571723938,,,,,,,
5,2749,0.22837409377098083,0.12203795462846756,0.3504120409488678,,,,,,,
5,2799,0.15148253738880157,0.09190905094146729,0.24339158833026886,,,,,,,
5,2849,0.31283336877822876,0.12545359134674072,0.4382869601249695,,,,,,,
5,2899,0.12487290054559708,0.14940166473388672,0.2742745578289032,,,,,,,
5,2949,0.24832290410995483,0.09088736027479172,0.33921027183532715,,,,,,,
5,2999,0.2547195255756378,0.09025053679943085,0.34497004747390747,,,,,,,
5,2999,,,,0.3390772342681885,0.5789703130722046,0.3566855192184448,0.233252614736557,0.27505505084991455,0.29213622212409973,0.02675170823931694
6,3049,0.2995299994945526,0.16633446514606476,0.46586447954177856,,,,,,,
6,3099,0.22477394342422485,0.20360884070396423,0.4283827841281891,,,,,,,
6,3149,0.0653759241104126,0.06220730394124985,0.12758323550224304,,,,,,,
6,3199,0.10570735484361649,0.07960321754217148,0.18531057238578796,,,,,,,
6,3249,0.10566656291484833,0.07793061435222626,0.18359717726707458,,,,,,,
6,3299,0.19656921923160553,0.10614059865474701,0.30270981788635254,,,,,,,
6,3349,0.10621688514947891,0.11978301405906677,0.2259998917579651,,,,,,,
6,3399,0.2749790847301483,0.11117249727249146,0.38615158200263977,,,,,,,
6,3449,0.19048242270946503,0.1504012644290924,0.34088367223739624,,,,,,,
6,3499,0.16170614957809448,0.1546803116798401,0.31638646125793457,,,,,,,
6,3499,,,,0.38450631499290466,0.45798492431640625,0.4446674883365631,0.3729272782802582,0.2359362244606018,0.33778059482574463,0.03465873748064041
7,3549,0.23161236941814423,0.08217699825763702,0.31378936767578125,,,,,,,
7,3599,0.30519282817840576,0.14480650424957275,0.4499993324279785,,,,,,,
7,3649,0.12207363545894623,0.1596049964427948,0.28167861700057983,,,,,,,
7,3699,0.12410010397434235,0.0728224366903305,0.19692254066467285,,,,,,,
7,3749,0.10009239614009857,0.07644963264465332,0.1765420287847519,,,,,,,
7,3799,0.1191897988319397,0.09760628640651703,0.21679608523845673,,,,,,,
7,3849,0.10139445215463638,0.10059376060962677,0.20198822021484375,,,,,,,
7,3899,0.36909571290016174,0.2758781909942627,0.644973874092102,,,,,,,
